region;provincia;habitantes;superficie;pib;pib_per_capita
Andalucía;Almería;700712;8775;14340;20465
Andalucía;Cádiz;1240434;7440;21513;17343
Andalucía;Córdoba;787819;13771;14152;17964
Andalucía;Granada;916486;12646;16400;17894
Andalucía;Huelva;521605;10127;10007;19185
Andalucía;Jaén;638991;13496;11160;17465
Andalucía;Málaga;1645367;7306;29676;18036
Andalucía;Sevilla;1943302;14036;38215;19665
Aragón;Huesca;219169;15636;6336;28910
Aragón;Teruel;134113;14809;3343;24928
Aragón;Zaragoza;962432;17274;25996;27011
Asturias;Asturias;1029973;10603;22640;21981
Cantabria;Cantabria;580924;5321;13226;22767
Castilla-La Mancha;Albacete;390313;14926;7763;19888
Castilla-La Mancha;Ciudad Real;500280;19813;10391;20771
Castilla-La Mancha;Cuenca;201091;17140;4553;22639
Castilla-La Mancha;Guadalajara;255532;12214;4847;18968
Castilla-La Mancha;Toledo;685865;15369;12361;18022
Castilla y León;Ávila;160519;8050;3139;19555
Castilla y León;Burgos;356243;14022;9973;27994
Castilla y León;León;467716;15580;9576;20473
Castilla y León;Palencia;162201;8052;4137;25508
Castilla y León;Salamanca;334343;12349;6906;20654
Castilla y León;Segovia;154467;6920;3464;22428
Castilla y León;Soria;93797;10306;2293;24445
Castilla y León;Valladolid;521130;8110;13279;25482
Castilla y León;Zamora;177002;10561;3480;19662
Cataluña;Barcelona;5482010;7733;163830;29885
Cataluña;Gerona;747349;5909;21430;28674
Cataluña;Lérida;432394;12172;12435;28759
Cataluña;Tarragona;792366;6302;23742;29964
Ceuta;Ceuta;84995;18,5;1661;19537
Comunidad Valenciana;Alicante;1838973;5817;35062;19066
Comunidad Valenciana;Castellón;568512;6636;14981;26351
Comunidad Valenciana;Valencia;2522480;10807;57719;22882
Extremadura;Badajoz;676141;21766;11925;17637
Extremadura;Cáceres;397010;19868;7574;19077
Galicia;La Coruña;1120015;7950;26145;23343
Galicia;Lugo;332401;9856;7662;23049
Galicia;Orense;309952;7273;6441;20781
Galicia;Pontevedra;941084;4494;20339;21612
Islas Baleares;Islas Baleares;1157958;4991;31420;27134
Islas Canarias;Las Palmas;1100518;4114;22686;20614
Islas Canarias;Santa Cruz de Tenerife;1066462;3381;21565;20221
La Rioja;La Rioja;312388;5045;8287;26528
Madrid;Madrid;6504879;8027;221433;34041
Melilla;Melilla;84809;12,3;1521;17934
Navarra;Navarra;640965;10391;19555;30508
País Vasco;Álava;324568;3037;11983;36921
País Vasco;Guipúzcoa;708872;1997;22695;32015
País Vasco;Vizcaya;1134136;2217;35046;30901
Región de Murcia;Murcia;1473618;11313;30601;20766
